"MaterialType","Materials_Details_EN","Notes"
"炭化材(マツ複維管束亜属)","carbonized material pine (Pinus sp.) subgen compound vascular",""
"炭化材(マテバシイ)","carbonized material stone oak (Lithocarpus edulis)chinquapin (Castanopsis)",""
"炭化材(マテバシイ属)",,"Needs translation"
"炭化材(マメ科サイカチ属サイカチ)","carbonized material Fabaceae honey locust (Gleditsia sp.)​ honey locust (Gleditsia japonica)​ legume (Fabaceae)",""
"炭化材(マンサク属)","carbonized material witch-hazel (Hamamelis sp.)​",""
"炭化材(ミカン科キハダ属キハダ)","carbonized material amur cork (Phellodendron)",""
"炭化材(ミズキ、モミ属)","carbonized material fir (Abies sp.) dogwood (Cornus controversa)",""
"炭化材(ミズキ属?)","carbonized material dogwood (Cornus controversa)",""
"炭化材(ミズキ属)","carbonized material dogwood (Cornus controversa)",""
"炭化材(ミツバウツギ科)","carbonized material Staphyleaceae bridal wreath (Deutzia crenata)",""
"炭化材(ムクノキ)","carbonized material oriental elm (Aphananthe aspera)",""
"炭化材（ムクノキ）","carbonized material, oriental elm (Aphananthe aspera)",""
"炭化材(ムクノキ•2年輪)","carbonized material year ring oriental elm (Aphananthe aspera)",""
"炭化材（ムクノキ根材？）","carbonized material root, indet. wood",""
"炭化材(ムクロジ)","carbonized material soapberry (Sapindaceae)",""
"炭化材(ムクロジ近似種)","carbonized material or similar soapberry (Sapindaceae)",""
"炭化材(ムラサキシキブ属)","carbonized material beautyberry (Callicarpa sp.)",""
"炭化材(メダケ属ネザサ節)","carbonized material Simon bamboo (Pleioblastus sp.)​ Nezasa bamboo (Pleioblastus viridistriatus)",""
"炭化材(モクレン)","carbonized material magnolia (Magnolia sp.)",""
"炭化材(モクレン属、イネ科タケ亜科)","carbonized material Poaceae bamboo (Bambusoideae) magnolia (Magnolia sp.)",""
"炭化材(モクレン属)","carbonized material magnolia (Magnolia sp.)",""
"炭化材(モクレン科モクレン属)","carbonized material magnolia (Magnolia sp.)",""
"炭化材(モチノキ属)","carbonized material holly (Ilex sp.)",""
"炭化材(モチノキ科モチノキ属)","carbonized material holly (Ilex sp.)",""
"炭化材(モミ属)","carbonized material fir (Abies sp.)",""
"炭化材（モミ属）","carbonized material, fir (Abies sp.)",""
"炭化材（モミ属） 樹種同定白滝-84と同一個体","carbonized material fir (Abies sp.)",""
"炭化材(モモ)","carbonized material peach (Amygdalus persica syn. Prunus)",""
"炭化材(ヤクシマサルスベリ)","carbonized material Yakushima crape myrtle (Lagerstroemia indica or subcostata var. fauriei)​",""
"炭化材(ヤシ科またはタコノキ科)",,"Needs translation"
"炭化材（ヤナギ）","carbonized material willow (Salix sp.)",""
"炭化材(ヤナギ属、コナラ属コナラ亜属コナラ節、クリ、トネリコ属)","carbonized material chestnut (Castanea crenata) oak (Quercus sp.) Jolcham oak (Quercus serrata) Ash (Fraxinus sp.) willow (Salix sp.)",""
"炭化材(ヤナギ属、モクレン属)","carbonized material magnolia (Magnolia sp.) willow (Salix sp.)",""
"炭化材（ヤナギ属(4)）","carbonized material willow (Salix sp.)",""
"炭化材(ヤナギ属)","carbonized material willow (Salix sp.)",""
"炭化材（ヤナギ属）","carbonized material willow (Salix sp.)",""
"炭化材（ヤナギ枝？）","carbonized material branch willow (Salix sp.)",""
"炭化材(ヤナギ科)","carbonized material willow (Salix sp.)",""
"炭化材(ヤブツバキ)","carbonized material wild camellia (Camellia japonica)",""
"炭化材（ヤブツバキ）","carbonized material wild camellia (Camellia japonica)",""
"炭化材(ヤマウルシ)","carbonized material Japanese sumac (Toxicodendron trichocarpum)",""
"炭化材(ヤマウルシ様環孔材)","carbonized material ring porous Japanese sumac (Toxicodendron trichocarpum)",""
"炭化材(ヤマガキ)","?? Awabuki (Meliosma myriantha) アワブキ or maybe Mountain cherry? ヤマザ",""
"炭化材(ヤマグワ)","carbonized material Chinese mulberry (Morus australis syn bombycis)",""
"炭化材（ヤマグワ）","carbonized material Chinese mulberry (Morus australis syn bombycis)",""
"炭化材(ヤマグワ近似種)","carbonized material or similar Chinese mulberry (Morus australis syn bombycis)",""
"炭化材(ヤマハゼ)",,"Needs translation"
"炭化材(ヤマビワ､アワブキ科)","carbonized material Awabuki (Meliosma myriantha)",""
"炭化材(ヤマモモ)",,"Needs translation"
"炭化材(ユズリハ属)","carbonized material yuzuriha (Daphniphyllum sp.)",""
"炭化材(リュウキュウマツ)",,"Needs translation"
"炭化材(リョウブ)","carbonized material tree clethra (clethra barbinervis)",""
"炭化材(リンボク)","carbonized material Rinboku cherry (Prunus spinulosa)",""
"炭化材（上屋）","carbonized material",""
"炭化材(不明)","unknown carbonized material",""
"炭化材（不明）","unknown carbonized material, wood indet.",""
"炭化材(不明散孔材)","unknown carbonized material",""
"炭化材(不明環孔材)","unknown carbonized material ring porous",""
"炭化材（丸木）","carbonized material log/trunk",""
"炭化材(丸材か)","carbonized material log/trunk",""
"炭化材(仮材)","carbonized material",""
"炭化材(最外年輪)","carbonized material outermost year ring",""
"炭化材（最外年輪）","carbonized material outermost year ring",""
"炭化材（最外年輪である可能性高いが不確実）","carbonized material outermost year ring",""
"炭化材（最終年輪以外部位不明）","unknown carbonized material year ring, indet. wood",""
"炭化材（最終形成年輪）","carbonized material year ring",""
"炭化材（最終形成年輪以外。樹皮に近い部分を採取）","carbonized material bark year ring",""
"炭化材（最終形成年輪以外部位不明、外側3年輪分）","outer 3-year annual rings, wood indet.",""
"炭化材（最終形成年輪以外部位不明、外側5年輪分）","outer 5-year annual rings, wood indet.",""
"炭化材(双子葉植物)","carbonized plant material cotyledon Dicotyledonous",""
"炭化材(土中炭片)",,"Needs translation"
"炭化材（垂木？）","carbonized material",""
"炭化材(塊状)","carbonized material",""
"炭化材（外側2年輪分）","carbonized material year ring",""
"炭化材（外側6年輪分）","carbonized material year ring",""
"炭化材(大径:アカガシ亜属)","carbonized material Japanese evergreen oak (Quercus acuta)",""
"炭化材(小径:アカガシ亜属)","carbonized material Japanese evergreen oak (Quercus acuta)",""
"炭化材(小枝)",,"Needs translation"
"炭化材（小片）","carbonized material fragments, indet. wood",""
"炭化材(小片複数)","carbonized material",""
"炭化材（屋根材）","carbonized material root, indet. wood",""
"炭化材(広葉樹 クリ)",,"Needs translation"
"炭化材(広葉樹 スダジイ)",,"Needs translation"
"炭化材（広葉樹・タケ亜科・樹皮等）","carbonized material bark hardwoodbamboo (Bambusoideae)",""
"炭化材(広葉樹･散孔材)","carbonized material hardwood",""
"炭化材（広葉樹・散孔材）","carbonized material, hardwoods",""
"炭化材(広葉樹･樹皮)","carbonized material bark hardwood",""
"炭化材(広葉樹･環孔材)","carbonized material ring porous hardwood",""
"炭化材(広葉樹､散孔材)",,"Needs translation"
"炭化材(広葉樹､環孔材)",,"Needs translation"
"炭化材(広葉樹:散孔材)",,"Needs translation"
"炭化材（広葉樹：散孔材）","carbonized material, hardwoods",""
"炭化材(広葉樹:樹皮)",,"Needs translation"
"炭化材(広葉樹:環孔材)","carbonized material ring porous hardwood",""
"炭化材(広葉樹?)","carbonized material hardwood",""
"炭化材(広葉樹？)","carbonized material hardwood",""
"炭化材(広葉樹(散孔材))","carbonized material hardwood",""
"炭化材(広葉樹(環孔材))","carbonized material ring porous hardwood",""
"炭化材(広葉樹)","carbonized material hardwood",""
"炭化材（広葉樹）","carbonized material hardwood",""
"炭化材(広葉樹•1年輪未満)","carbonized material year ring hardwood",""
"炭化材(広葉樹のコナラ属アカガシ亜属)",,"Needs translation"
"炭化材(広葉樹の節)","carbonized material hardwood",""
"炭化材(広葉樹散孔材)","carbonized material hardwood",""
"炭化材(広葉樹樹幹の材片)","carbonized material trunk hardwood",""
"炭化材(広葉樹環孔材?)","carbonized material ring porous hardwood",""
"炭化材(広葉樹節)","carbonized material hardwood",""
"炭化材(微細木片)",,"Needs translation"
"炭化材(散光材)",,"Needs translation"
"炭化材(散孔材･環孔材)","carbonized material ring porous",""
"炭化材(散孔材，2年輪分)","carbonized material year ring",""
"炭化材(散孔材:5年輪)","carbonized material year ring",""
"炭化材(散孔材?)","carbonized material",""
"炭化材(散孔材？)","carbonized material",""
"炭化材（散孔材?）",,"Needs translation"
"炭化材(散孔材)","carbonized material",""
"炭化材（散孔材）","carbonized material",""
"炭化材（散孔材）最終形成年輪","perorated wood final outermost ring, indet. wood",""
"炭化材(散孔材2)","carbonized material",""
"炭化材(散孔材5年輪(外側))","carbonized material year ring",""
"炭化材(散孔材の一種)","carbonized material",""
"炭化材（木材）","carbonized material wood",""
"炭化材（木炭・住居建築材）","charcoal carbonized material",""
"炭化材（木炭・木釘状の細い枝）","charcoal carbonized material branch",""
"炭化材（木炭・柱材外周部）","charcoal carbonized material post/pillar",""
"炭化材(木炭)",,"Needs translation"
"炭化材（木炭）","charcoal carbonized material",""
"炭化材(木炭粒)","charcoal carbonized grain material",""
"炭化材(木片)","carbonized material wood frag",""
"炭化材(未同定)","carbonized material Unidentified",""
"炭化材（未同定）","carbonized material unidentified, indet. wood",""
"炭化材(杭？)","carbonized material plank",""
"炭化材(板材)","carbonized material plank",""
"炭化材(板目板状マツ属複維管束亜属)","carbonized material plank pine (Pinus sp.) subgen compound vascular",""
"炭化材（枝、径数mm、最終形成年輪）","carbonized material year ring branch, indet. wood",""
"炭化材(枝)",,"Needs translation"
"炭化材（枝）最外年輪","carbonized material outermost year ring branch, indet. wood",""
"炭化材（枝材・木炭（0.58g））","charcoal carbonized material branch",""
"炭化材(枝材)","carbonized material plank",""
"炭化材（枝材）最終形成年輪","outer rings of branch/twig material, indet. wood",""
"炭化材(枝状)",,"Needs translation"
"炭化材(枝状）最外年輪部","carbonized material outermost year ring branch, indet. wood",""
"炭化材(柱かクリ?)",,"Needs translation"
"炭化材（棟木？）","carbonized material",""
"炭化材（構築材？）","carbonized material",""
"炭化材(樹木類)","carbonized material tree",""
"炭化材(樹皮?)",,"Needs translation"
"炭化材(樹皮)","carbonized material bark",""
"炭化材（樹皮）","carbonized material bark",""
"炭化材（樹皮付き（アカガシ亜属））","carbonized material including bark, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"炭化材（樹皮付き（クスノキ科））","carbonized material including bark, Lauraceae camphor tree (Cinnamomum camphora)",""
"炭化材（樹皮無・アセビ）","carbonized material without bark, Japanese andromeda (Pieris japonica)",""
"炭化材（樹皮無・コナラ属アカガシ亜属）","carbonized material without bark, oak (Quercus) Japanese evergreen oak (Quercus acuta)",""
"炭化材（樹皮無・バラ科ナシ亜科）","carbonized material without bark, Rosaceae Pear (Pyrus)=Maleae subfamily",""
"炭化材（樹皮無）","charred wood no bark, indet. wood",""
"炭化材(樹種不明)","unknown carbonized material",""
"炭化材（樹種不明）幹あるいは枝 最終形成年輪を含む5年輪分","unknown carbonized material year ring branch, indet. wood",""
"炭化材（樹種同定分析No.15、コナラ属コナラ亜属コナラ節）","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材（樹種同定分析No.9、樹皮＝ハンノキ属）","carbonized material bark alder (Alnus sp.)​",""
"炭化材(水洗)",,"Needs translation"
"炭化材(火災住居垂木樹幹:コナラ?)",,"Needs translation"
"炭化材(灰質)","carbonized material",""
"炭化材（炭化樹皮・住居建築材）","carbonized material bark",""
"炭化材(炭質物)",,"Needs translation"
"炭化材(環孔材?)","carbonized material ring porous",""
"炭化材（環孔材。つる性木本）","carbonized material woody ring porous vine",""
"炭化材(環孔材)","carbonized material ring porous",""
"炭化材（環孔材）","carbonized material ring porous",""
"炭化材（環孔材）最終形成年輪","ring porous, outer annual rings, indet. wood",""
"炭化材(環孔材広葉樹)","carbonized material ring porous hardwood",""
"炭化材(環孔材類似)","carbonized material ring porous",""
"炭化材（破片）","carbonized material fragments, indet. wood",""
"炭化材(種類不明の針葉樹)",,"Needs translation"
"炭化材（細材）","carbonized material",""
"炭化材（自然乾燥）","carbonized material desiccated, indet. wood",""
"炭化材（草本類）","carbonized material, herbaceous plants",""
"炭化材(落葉広葉樹か)",,"Needs translation"
"炭化材(薄板材)","carbonized material plank",""
"炭化材(複数個体)",,"Needs translation"
"炭化材(角または丸材)","carbonized material",""
"炭化材（遺物番号 炭1）","carbonized material",""
"炭化材（遺物番号 炭17）","carbonized material",""
"炭化材（遺物番号 炭18）","carbonized material",""
"炭化材（遺物番号 炭3）","carbonized material",""
"炭化材（遺物番号 炭4）","carbonized material",""
"炭化材（遺物番号 炭6）","carbonized material",""
"炭化材（遺物番号 炭73）","carbonized material",""
"炭化材(部位不明)","unknown carbonized material",""
"炭化材(針葉樹、カエデ属、トネリコ属、環孔材)","carbonized material ring porous Ash (Fraxinus sp.) Coniferae maple (Acer sp.)",""
"炭化材(針葉樹、コナラ属)","carbonized material oak (Quercus sp.) Coniferae",""
"炭化材(針葉樹:小枝)","carbonized material twig branch Coniferae",""
"炭化材(針葉樹？)","carbonized material Coniferae",""
"炭化材(針葉樹?枝材)",,"Needs translation"
"炭化材(針葉樹)","carbonized material Coniferae",""
"炭化材（針葉樹）","carbonized material Coniferae",""
"炭化材(針葉樹4年輪分)","carbonized material year ring Coniferae",""
